,Tên tiếng việt,Ngành tiếng việt,Tên tiếng anh,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,Group
41,Kĩ sư điện tử,Kỹ thuật,Electronics Engineer,2,2,1,"[3.12, 3.75,  4.0,  3.0,  4.0, 2.88, 2.88, 1.62,  3.0, 3.75,  3.0,  2.0, 2.75,
 2.75,  3.5, 3.38, 2.75, 2.88, 3.25,  3.0, 2.88, 2.75, 3.12,  4.0, 2.75,  3.0,
 2.88, 2.88, 3.88, 3.75, 3.38,  3.0, 2.75,  3.0,  3.5]",23
42,Kĩ thuật viên chẩn đoán hình ảnh,Chăm sóc sức khỏe,Medical Technologist: Medical Imaging,0,0,1,"[3.38, 3.88, 3.12, 3.25,  3.5, 2.62, 2.25,  1.0,  3.0, 3.12,  3.0, 1.75, 1.88,
 2.75, 2.12,  3.5,  2.5, 3.12,  2.0, 3.12,  3.0, 1.25, 2.75, 3.75, 2.12, 3.25,
 3.12, 3.75, 3.75, 2.38, 2.12,  2.0, 3.38, 2.25, 3.25]",1
43,Kĩ thuật viên chỉnh hình và phục hình,Chăm sóc sức khỏe,Orthotist and Prosthetist,1,1,2,"[3.75,  4.0, 3.88, 3.25,  4.0, 1.75, 2.25,  1.0,  3.0, 3.25,  3.0, 1.62,  2.0,
  2.5,  3.0, 3.25, 2.62, 2.25, 3.12,  3.0,  3.0, 1.62,  3.0, 4.12,  2.0, 2.75,
 3.88, 3.75,  4.0,  3.0,  3.0,  3.0,  3.0, 2.12,  4.0]",12
44,"Kĩ thuật viên cơ khí trong sản xuất, lắp ráp và sửa chữa",Kỹ thuật,"Mechanical Engineering Technicians (Manufacture, Assembly and Repair)",1,1,0,"[3.12, 3.75, 3.62,  3.0, 3.75, 2.62, 2.75, 1.38, 2.75, 3.38, 2.75, 1.88,  2.0,
 2.62, 3.25, 3.12, 2.75,  3.0, 2.62,  3.5,  3.0,  2.0, 3.25, 3.75, 2.62,  3.0,
 2.88,  3.0, 3.62, 3.25, 3.12, 2.38, 3.12, 2.88,  3.5]",10
45,Kĩ thuật viên cơ điện tử,Kỹ thuật,Mechatronics Technician,0,0,0,"[3.12, 3.12, 3.25,  3.0, 3.62, 3.12, 3.12, 3.12, 2.88, 3.38, 2.88, 1.75,  2.0,
 2.75, 2.88, 3.75,  2.0,  3.5, 2.25,  4.0,  2.0,  2.5, 3.62, 3.25, 3.75, 2.75,
 2.25, 2.88, 3.12, 3.12, 3.12, 2.12,  3.0, 3.88, 3.12]",0
46,Kĩ thuật viên kĩ thuật viễn thông,Máy tính và Công nghệ thông tin,Telecommunications Technicians,0,1,0,"[2.94, 3.25, 3.25,  3.0, 3.37, 3.25, 2.68, 2.82,  2.5, 3.12, 2.56, 1.75, 1.75,
 2.25, 2.12, 3.19, 2.31, 3.12, 1.88, 3.37, 2.44, 1.81, 3.25, 3.13, 3.38, 1.88,
 2.82, 2.94, 3.18, 2.75, 2.56, 1.88, 2.94, 3.44, 2.81]",3
47,Kĩ thuật viên may mặc và công nghệ có liên quan,Kỹ thuật,Garment Technicians,0,0,1,"[2.12,  2.0, 2.25,  2.0,  2.5, 2.25,  2.0, 1.25, 1.25, 2.12, 1.75,  1.5,  1.5,
  1.5, 1.62, 2.38, 1.75,  3.0,  1.5,  2.5, 1.75,  1.0, 2.12,  2.0, 1.75,  1.0,
 1.88,  2.0, 2.12, 1.62, 1.88,  1.5,  2.5, 2.25, 1.75]",1
48,"Kĩ thuật viên phát thanh, truyền hình và nghe - nhìn",Báo chí – Thông tin – Truyền thông,Broadcasting and Audiovisual Technicians,1,1,0,"[3.12, 3.62, 3.25, 3.0, 3.75, 3.12, 2.75, 2.0, 2.5, 3.12, 2.88, 1.88, 2.12, 2.62, 2.75, 3.5, 2.38, 3.0, 2.12, 3.5, 2.38, 2.12, 2.88, 3.12, 2.75, 1.88, 2.38, 3.0, 3.12, 2.88, 2.75, 2.25, 3.12, 3.0, 3.25]",10
49,Kĩ thuật viên phòng xét nghiệm,Chăm sóc sức khỏe,Laboratory Technician,0,0,0,"[ 3.0, 3.88, 3.12,  3.0, 3.38, 2.75, 2.62, 1.25, 3.12,  3.0, 2.88,  2.0,  2.0,
 2.88, 2.75, 3.12, 2.62, 2.88, 2.12, 3.12,  2.5, 1.88, 3.12,  3.5,  2.5, 3.25,
  3.0,  3.0, 3.38, 2.75, 2.25,  2.0, 3.12, 2.75, 3.12]",0
50,Kĩ thuật viên y tế: kĩ thuật viên và phụ tá nha khoa,Chăm sóc sức khỏe,Dental Assistant and Therapist,0,0,0,"[3.12, 3.88,  3.0, 2.88,  3.0, 1.88,  2.0,  1.0, 3.12, 2.88,  2.5, 1.75, 2.12,
 2.25, 2.12, 3.12,  2.5, 2.12, 1.75, 2.62,  2.5, 1.38,  2.5, 3.25, 1.88,  2.0,
 3.12, 3.12, 3.38, 2.38, 2.12, 1.75, 2.75,  2.0,  3.0]",0
