,Tên tiếng việt,Tên tiếng anh,Ngành tiếng việt,Mô tả,Ví dụ về nơi làm việc,Work/ Life Balance,Career Opportunity,Avg Salary,Skill,O*NET-SOC Code,Group
112,Giám đốc điều hành,Chief Executive,Kinh doanh và Quản lý,"Các nhà điều hành chỉ đạo, lập kế hoạch và điều phối các hoạt động điều hành cho tổ chức hoặc công ty của họ và thường chịu trách nhiệm tạo ra các chính sách và chiến lược đáp ứng các mục tiêu của công ty. Họ thường đi dự các cuộc họp, hội nghị và thăm các chi nhánh và văn phòng khu vực, địa phương, quốc gia hoặc quốc tế. Họ cố gắng cắt giảm chi phí và cải thiện các chính sách, chương trình và hiệu suất. Các giám đốc điều hành phân tích báo cáo bán hàng, báo cáo tài chính và giám sát các hoạt động chung tạo nên sứ mệnh của công ty. Họ chịu trách nhiệm về ngân sách và các hoạt động tài chính, đồng thời tham gia phê duyệt hoặc đàm phán các hợp đồng và thỏa thuận cũng như thuê các nhà quản lý hoặc trưởng bộ phận khác.",,1,1,2,"[4.0, 4.12, 4.38, 4.25, 4.38, 1.0, 1.12, 1.0, 3.12, 4.5, 3.12, 4.12, 3.88, 4.25, 3.25, 4.12, 4.12, 1.75, 3.12, 1.88, 4.12, 1.62, 1.75, 4.12, 1.0, 1.88, 3.12, 4.25, 4.38, 4.12, 4.12, 1.75, 4.0, 1.0, 4.0]",11-1011.00,11
113,Kiến trúc sư mạng máy tính,Computer Network Architect,Máy tính và Công nghệ thông tin,"Kiến trúc sư mạng phát triển và triển khai hệ thống mạng máy tính cho các công ty lớn và nhỏ. Họ cài đặt bộ định tuyến, modem, phần cứng và phần mềm khác cần thiết để vận hành mạng truyền thông dữ liệu. Họ cũng xác định cách bố trí cáp và các thành phần hệ thống mạng khác để sử dụng trong một tòa nhà hoặc các mạng quan trọng trải rộng khắp các thành phố và quốc gia. Họ nâng cấp các hệ thống hiện có lên phiên bản mới nhất hiện có.",,2,2,1,"[3.25, 3.88, 3.88, 3.5, 4.0, 2.25, 2.5, 1.75, 3.0, 3.75, 2.88, 2.38, 2.38, 2.75, 3.25, 3.25, 3.0, 2.5, 2.75, 3.0, 3.12, 3.5, 3.12, 3.88, 2.0, 2.12, 2.88, 3.12, 3.75, 3.62, 3.62, 3.12, 3.25, 2.88, 3.62]",15-1241.00,21
114,Kỹ sư hệ thống máy tính,Computer Systems Engineer,Máy tính và Công nghệ thông tin,"Các kỹ sư hệ thống máy tính kết hợp kiến ​​thức khoa học máy tính, kỹ thuật và toán học để hiểu cách công nghệ phù hợp với bức tranh lớn hơn về nhu cầu nghề nghiệp hoặc cá nhân. Họ đánh giá sự phát triển của công nghệ máy tính và hiểu các khái niệm cơ bản của máy tính. Họ cố gắng tạo ra những cải tiến trong các quy trình và thiết bị hiện tại, đồng thời tích hợp các chương trình phần cứng và phần mềm để tạo ra một hệ thống có khả năng đáp ứng nhu cầu của khách hàng. Họ kết hợp toán học, khoa học và điện tử để tạo ra một hệ thống máy tính được thiết kế riêng và phù hợp với từng khách hàng.",,2,2,1,"[3.75, 4.0, 3.88, 3.12, 4.12, 1.5, 1.5, 1.62, 3.12, 3.38, 3.0, 2.38, 2.12, 3.0, 3.12, 3.5, 3.0, 1.5, 3.75, 2.88, 3.0, 3.38, 3.0, 4.12, 1.5, 3.12, 3.0, 3.0, 3.75, 3.88, 4.0, 2.38, 3.25, 2.5, 3.88]",15-1299.08,21
115,Hướng dẫn viên,Concierges,"Du lịch, khách sạn, thể thao và dịch vụ cá nhân","Nhân viên hướng dẫn khách đóng vai trò là điểm tiếp xúc đầu tiên giữa khách và tổ chức. Họ được giao nhiệm vụ trả lời các câu hỏi của khách, chỉ đạo các cuộc gọi điện thoại, điều phối các kế hoạch du lịch, v.v. Họ phải luôn duy trì văn hóa công ty đồng thời làm cho khách cảm thấy được chào đón và có giá trị. Nhân viên hướng dẫn khách thường làm việc trong ngành khách sạn, chẳng hạn như trong khách sạn và khu nghỉ dưỡng, nhưng họ cũng có thể làm việc trong bệnh viện, văn phòng bất động sản, v.v.",,1,0,0,"[2.88, 4.0, 2.88, 3.5, 3.25, 1.0, 1.0, 1.0, 2.25, 3.0, 2.25, 1.62, 1.62, 2.38, 2.0, 3.0, 2.75, 1.38, 1.38, 1.5, 3.0, 1.38, 1.38, 3.0, 1.0, 1.0, 4.25, 4.12, 4.0, 2.12, 2.12, 1.62, 2.88, 1.0, 2.75]",39-6012.00,6
116,Quản lý xây dựng,Construction Manager,Kiến trúc và xây dựng,"Các nhà quản lý xây dựng lập kế hoạch, ngân sách và giám sát các dự án xây dựng từ đầu đến cuối. Các nhà quản lý xây dựng phối hợp và giám sát các dự án xây dựng khác nhau, bao gồm việc xây dựng tất cả các loại công trình dân cư công cộng, thương mại và công nghiệp ngoài đường, đài tưởng niệm và cầu.",,1,2,2,"[3.62, 3.88, 3.75, 4.0, 3.75, 1.0, 1.0, 1.0, 3.0, 3.75, 3.0, 3.25, 3.12, 4.0, 3.25, 3.88, 3.62, 1.88, 3.0, 2.88, 3.0, 1.5, 3.12, 3.75, 1.0, 1.88, 3.0, 3.38, 3.88, 3.12, 3.12, 1.62, 3.88, 2.0, 3.25]",11-9021.00,14
117,Nhà thiết kế thủ công mĩ nghệ,Crafts Designer,Năng khiếu nghệ thuật,"Nhà thiết kế thủ công mĩ nghệ thiết kế các sản phẩm thủ công mĩ nghệ để đảm bảo hài hòa các giá trị thẩm mĩ, văn hóa, công năng và phù hợp với các đối tượng khách hàng. Thủ công mĩ nghệ là một nét văn hóa. Mỗi nhóm dân tộc, mỗi địa phương đều có các nghề thủ công của mình. Sản phẩm thủ công mĩ nghệ đã xuất hiện từ lâu đời để phục vụ các mục đích truyền thống. Ngày nay, các doanh nghiệp và nhà nước mong muốn phát triển các sản phẩm thủ công mĩ nghệ vừa có nét truyền thống vừa phù hợp với đối tượng và nhu cầu sử dụng rộng rãi hơn","• Hành nghề tự do hoặc tự mở xưởng, cửa hàng, công ti • Các cơ sở, doanh nghiệp sản xuất và mua bán hàng thủ công mĩ nghệ • Các tổ chức trong nước và quốc tế về bảo tồn, phát triển nghề truyền thống • Các cửa hàng bán sản phẩm thủ công mĩ nghệ, đồ lưu niệm",1,1,0,"[2.88, 3.12, 2.88, 2.5, 3.0, 1.88, 2.38, 1.0, 1.25, 2.75, 2.25, 2.25, 2.5, 2.12, 2.12, 3.0, 2.12, 2.25, 2.62, 2.25, 3.0, 1.5, 2.5, 3.12, 1.88, 1.38, 2.88, 3.12, 3.12, 2.0, 2.12, 1.88, 2.62, 1.88, 2.88]",27-1012.00,9
118,Kiến trúc sư kho dữ liệu,Data Warehouse Specialist,Máy tính và Công nghệ thông tin,"Kiến trúc sư kho dữ liệu chịu trách nhiệm thiết kế các giải pháp kho dữ liệu và làm việc với các công nghệ kho dữ liệu thông thường để đưa ra các kế hoạch hỗ trợ doanh nghiệp hoặc tổ chức. Họ nắm bắt nhu cầu của khách hàng hoặc mục tiêu của nhà tuyển dụng và làm việc để phát triển một cấu trúc hoặc kế hoạch cụ thể sẽ được duy trì và phục vụ mục đích đã nêu. Họ duy trì các hệ thống lưu giữ dữ liệu thô, siêu dữ liệu và các tài sản dữ liệu khác.",,2,2,1,"[3.12, 3.5, 3.5, 3.25, 3.88, 1.25, 1.62, 1.62, 2.75, 3.62, 2.88, 1.62, 1.88, 2.5, 3.0, 3.25, 2.62, 1.75, 2.75, 2.25, 2.75, 3.25, 1.88, 3.62, 1.25, 2.0, 2.75, 3.12, 3.5, 3.5, 3.25, 2.62, 2.88, 2.12, 3.38]",15-1243.00,21
119,Quản trị viên cơ sở dữ liệu,Database Administrator,Máy tính và Công nghệ thông tin,"Quản trị viên cơ sở dữ liệu đảm bảo cơ sở dữ liệu của công ty hoạt động, an toàn và có thể tìm kiếm bằng cách xây dựng hệ thống cơ sở dữ liệu theo vai trò chuyên biệt của người dùng và liên quan đến nhu cầu và quan điểm của người dùng cuối. Họ chịu trách nhiệm lưu trữ, tổ chức, trình bày, sử dụng và phân tích phần mềm quản lý cơ sở dữ liệu của công ty. Họ cố gắng đáp ứng nhu cầu lưu trữ và cơ sở dữ liệu của công ty thông qua triển khai cơ sở dữ liệu mới hoặc bằng cách tích hợp dữ liệu hiện có từ hệ thống cũ sang hệ thống mới. Họ cũng thực hiện kiểm tra hoặc sửa đổi để đảm bảo rằng cơ sở dữ liệu chạy và hoạt động chính xác.",,2,2,1,"[3.5, 3.5, 3.62, 3.12, 3.88, 1.0, 1.88, 1.62, 3.0, 3.5, 3.0, 2.0, 2.0, 2.75, 3.12, 3.38, 2.12, 1.88, 3.12, 3.12, 2.62, 3.38, 3.0, 3.5, 1.25, 2.0, 2.75, 2.75, 3.38, 3.38, 3.38, 2.38, 3.0, 2.88, 3.38]",15-1242.00,21
120,Bác sĩ da liễu,Dermatologist,Chăm sóc sức khỏe,"Bác sĩ da liễu là bác sĩ y khoa chuyên chẩn đoán và điều trị các tình trạng liên quan đến da. Họ cũng thường điều trị các vấn đề y tế liên quan đến da đầu, tóc và móng tay. Họ đề xuất các lựa chọn điều trị cho bệnh ung thư da, cùng với các tình trạng da phổ biến như mụn trứng cá và bệnh chàm. Họ đánh giá nốt ruồi, vết bớt, phát ban và các đặc điểm khác để phát hiện bất kỳ dấu hiệu bệnh tật hoặc sự phát triển bất thường nào. Họ thực hiện kiểm tra định kỳ và giáo dục bệnh nhân về các yếu tố nguy cơ và triệu chứng của bệnh ung thư da và các bệnh khác.",,2,2,2,"[3.75, 4.0, 3.5, 3.25, 4.12, 1.0, 1.25, 1.0, 3.25, 3.75, 3.12, 2.0, 2.0, 3.0, 2.25, 3.5, 3.12, 1.25, 1.88, 2.0, 3.25, 1.88, 1.75, 3.88, 1.0, 3.62, 4.0, 3.88, 3.88, 2.75, 2.88, 1.88, 3.12, 1.38, 3.5]",29-1213.00,22
121,Quản lý tài chính,Finance manager,Kinh doanh và Quản lý,"Các nhà quản lý tài chính phân tích các hoạt động tài chính hàng ngày và đưa ra lời khuyên cũng như hướng dẫn cho quản lý cấp trên về các kế hoạch tài chính trong tương lai. Họ là gốc rễ của tất cả các quyết định kinh doanh lớn và vai trò của họ rất quan trọng đối với sự thành công của bất kỳ tổ chức nào. Các nhà quản lý tài chính có thể được tuyển dụng trong nhiều môi trường khác nhau, bao gồm cả các tổ chức khu vực công và tư nhân. Họ cũng hoạt động trong nhiều ngành khác nhau, chẳng hạn như ngân hàng, tài chính, chăm sóc sức khỏe và bảo hiểm.",,1,1,2,"[3.5, 4.0, 3.62, 3.62, 4.0, 1.0, 1.25, 1.0, 2.88, 3.62, 3.0, 3.12, 2.38, 3.62, 3.5, 3.75, 3.12, 1.12, 1.75, 1.88, 3.38, 1.88, 1.88, 4.0, 1.0, 1.25, 3.62, 3.62, 4.0, 3.0, 3.0, 1.62, 3.62, 1.25, 3.75]",11-3031.00,11
122,Kĩ sư và kĩ thuật viên lâm nghiệp,Forest and Conservation Technicians,"Nông, Lâm nghiệp, Thủy sản","Kĩ sư và kĩ thuật viên lâm nghiệp cung cấp hỗ trợ kĩ thuật, tư vấn về các vấn đề và các phương thức lâm nghiệp","• Làm việc cho cơ quan kiểm lâm và bảo tồn rừng • Làm việc cho các dự án về môi trường của các tổ chức phi lợi nhuận (ví dụ: Tổ chức Hoà bình xanh) • Làm việc cho các cơ quan quốc tế về phát triển, môi trường",1,1,0,"[3.0, 3.62, 3.75, 3.75, 3.88, 1.0, 1.88, 1.0, 3.12, 3.88, 2.88, 2.5, 2.75, 3.38, 3.0, 4.0, 3.25, 3.0, 2.88, 3.12, 3.0, 1.38, 2.75, 4.0, 1.0, 2.88, 3.0, 3.38, 4.0, 3.62, 3.62, 2.12, 3.75, 1.5, 3.5]",19-1032.00,9
123,Nhà phân tích bảo mật thông tin,Information Security Analyst,Máy tính và Công nghệ thông tin,"Với tư cách là Nhà phân tích bảo mật thông tin, bạn sẽ thiết kế và triển khai các hệ thống bảo mật CNTT để bảo vệ mạng máy tính của tổ chức khỏi các cuộc tấn công mạng. Bạn cũng sẽ giúp phát triển các phương pháp hay nhất trong toàn tổ chức về bảo mật CNTT. Bạn sẽ giám sát các mạng máy tính để tìm các vấn đề bảo mật, cài đặt phần mềm bảo mật và ghi lại tất cả các vấn đề hoặc vi phạm bảo mật mà bạn tìm thấy.",,2,2,1,"[3.25, 3.75, 3.75, 3.0, 3.88, 1.62, 1.75, 1.5, 2.88, 3.38, 2.88, 1.75, 1.75, 2.88, 2.25, 3.38, 2.62, 1.75, 2.5, 3.0, 2.62, 2.62, 3.0, 4.0, 1.62, 1.88, 2.88, 2.75, 3.62, 3.38, 3.0, 2.12, 3.12, 2.12, 3.5]",15-1212.00,21
124,Kiến trúc sư cảnh quan,Landscape Architect,Kiến trúc và xây dựng,"Với tư cách là Kiến trúc sư cảnh quan, bạn sẽ tạo cảnh quan, lập kế hoạch và thiết kế dựa trên khách hàng. Bạn sẽ cộng tác với các chuyên gia khác trong nhiều loại dự án từ công viên, vườn, nhà ở và khu liên hợp công nghiệp cũng như nhà ở riêng lẻ. Bạn sẽ sử dụng GIS, CAD và các ứng dụng thiết kế khác để tạo ra các kế hoạch có tính thẩm mỹ và thân thiện với môi trường.",,1,2,2,"[3.75, 4.0, 3.88, 3.88, 3.88, 1.0, 1.0, 1.0, 3.0, 3.75, 2.88, 2.62, 2.75, 3.0, 3.0, 3.0, 3.0, 2.0, 3.62, 2.0, 3.12, 1.5, 2.25, 4.0, 1.0, 2.5, 3.25, 3.75, 3.88, 3.38, 3.12, 1.88, 3.75, 2.0, 3.75]",17-1012.00,14
125,Nhà phân tích logistic,Logistics analyst,Kinh doanh và Quản lý,"Nhà phân tích hậu cần chịu trách nhiệm giám sát toàn bộ vòng đời của sản phẩm, bao gồm mua, phân phối, phân bổ nội bộ, giải phóng và giải phóng mặt bằng tài nguyên lần cuối. Một nhà phân tích hậu cần giúp người sử dụng lao động của họ nâng cao hiệu suất bằng cách xác định và giảm bớt sự kém hiệu quả có thể tiêu tốn lợi nhuận. Về cơ bản, nhà phân tích hậu cần giúp hợp lý hóa các hoạt động và xác định cách tốt nhất để sử dụng các nguồn lực của công ty để đạt được mục tiêu của mình. Các nhà phân tích hậu cần thường làm việc trong nhiều ngành khác nhau trong bộ phận hậu cần.",,1,1,1,"[3.75, 4.0, 4.0, 3.38, 3.88, 1.38, 1.75, 1.0, 3.0, 4.0, 3.0, 2.75, 2.75, 3.12, 3.88, 3.25, 2.88, 1.62, 3.38, 2.5, 3.12, 2.62, 2.75, 4.12, 1.38, 2.5, 3.0, 3.12, 3.75, 4.12, 3.88, 2.75, 3.75, 2.38, 4.0]",13-1081.02,10
126,Kỹ sư logistic,Logistics Engineer,Kỹ thuật,"Các kỹ sư hậu cần xem xét và thiết kế các hoạt động hậu cần của một công ty để cải thiện hiệu quả hoạt động và giảm chi phí. Họ tìm kiếm các biện pháp cắt giảm chi phí trong các lĩnh vực bao gồm vận chuyển, giao hàng, kiểm soát thông tin hoặc quản lý thông tin của công ty. Họ làm việc chặt chẽ với các kỹ sư, thành viên nhóm hậu cần, nhà phân tích và quản lý sản xuất khác. Họ đưa ra các khuyến nghị để cải thiện hiệu quả của quy trình làm việc và chất lượng sản phẩm đồng thời giảm chi phí sản xuất.",,2,2,1,"[3.12, 3.88, 3.88, 3.0, 4.0, 1.0, 1.0, 1.0, 2.88, 3.62, 2.75, 2.5, 2.62, 3.0, 3.0, 3.75, 2.88, 1.0, 2.12, 2.12, 2.88, 2.0, 2.25, 4.0, 1.0, 1.75, 3.0, 3.0, 3.75, 3.75, 3.75, 1.88, 3.25, 1.5, 3.38]",13-1081.01,21
127,Giáo viên trung học cơ sở,Lower Secondary Education Teacher,Khoa học giáo dục và Đào tạo Giáo viên sư phạm,"Giáo viên trung học cơ sở dạy học sinh ở các trường trung học cơ sở hoặc tương đương, ví dụ như trường trẻ em khuyết tật bậc trung học cơ sở. Họ dạy một hoặc nhiều môn học với mục đích giáo dục, hướng nghiệp, hoặc dạy nghề.","• Dạy học tại các trường trung học cơ sở; các trung tâm giáo dục thường xuyên; • Quản lí trong các cơ sở giáo dục (ví dụ: hiệu trưởng, trưởng phòng); • Làm việc chuyên môn trong các cơ quan quản lý giáo dục; • Dạy học tại các trung tâm bồi dưỡng văn hóa",0,0,1,"[3.75, 4.0, 3.75, 3.62, 3.62, 1.0, 1.0, 1.0, 4.12, 3.5, 4.0, 1.5, 1.75, 3.0, 3.0, 3.88, 3.12, 1.0, 1.25, 1.88, 3.12, 1.38, 1.62, 4.0, 1.0, 1.62, 3.38, 4.0, 4.12, 3.0, 3.0, 1.62, 3.88, 1.38, 4.0]",25-2022.00,1
128,Quản lý dự án công nghệ thông tin,"Project managers are responsible for planning and overseeing projects to ensure they are completed in a timely fashion and within budget. Project managers plan and designate project resources, prepare budgets, monitor progress, and keep stakeholders informed the entire way. This is all done within the confines of a company's goals and vision. Project managers are needed on a wide variety of projects, including construction, IT, HR, and marketing.",Máy tính và Công nghệ thông tin,"Người quản lý dự án chịu trách nhiệm lập kế hoạch và giám sát các dự án để đảm bảo chúng được hoàn thành kịp thời và trong phạm vi ngân sách. Người quản lý dự án lập kế hoạch và chỉ định các nguồn lực của dự án, chuẩn bị ngân sách, theo dõi tiến độ và thông báo cho các bên liên quan trong toàn bộ quá trình. Tất cả điều này được thực hiện trong giới hạn của các mục tiêu và tầm nhìn của công ty. Người quản lý dự án là cần thiết cho nhiều dự án khác nhau, bao gồm xây dựng, CNTT, nhân sự và tiếp thị.",,1,1,2,"[3.38, 4.0, 3.38, 4.0, 4.12, 1.0, 1.0, 1.0, 3.12, 3.62, 3.0, 3.12, 3.12, 3.88, 2.88, 3.62, 3.38, 1.12, 2.38, 2.25, 3.12, 2.25, 2.5, 4.0, 1.0, 2.12, 3.25, 3.38, 3.88, 3.75, 3.5, 2.12, 4.0, 1.5, 4.0]",15-1299.09,11
129,Nhà phân tích kiểm soát chất lượng,Quality Control Analyst,Kỹ thuật,"Các nhà phân tích kiểm soát chất lượng chịu trách nhiệm thiết lập, triển khai, giám sát và thực thi các tiêu chuẩn kiểm soát chất lượng trong môi trường sản xuất hoặc sản xuất kỹ thuật. Họ tham gia vào tất cả các giai đoạn của vòng đời sản xuất từ ​​đánh giá nguyên liệu thô đến kiểm tra thành phẩm để xác minh rằng chúng đáp ứng các thông số kỹ thuật mục tiêu. Họ có thể tiến hành thử nghiệm, thực hiện các phép đo hoặc thực hiện các đánh giá khác, trong một số bối cảnh có thể bao gồm phân tích hóa học. Họ cũng thiết lập các tiêu chuẩn kiểm soát chất lượng và giao thức đánh giá, đồng thời có thể thực hiện các quy trình kiểm tra hoặc kiểm tra tự động.",,1,1,1,"[3.12, 3.38, 3.38, 2.75, 3.25, 2.12, 1.88, 1.5, 2.62, 3.0, 2.75, 1.5, 1.75, 1.88, 3.0, 3.75, 2.38, 2.75, 2.0, 3.25, 2.25, 1.75, 4.0, 3.75, 1.88, 2.75, 2.75, 3.0, 3.12, 3.0, 3.0, 1.62, 3.0, 3.0, 3.25]",19-4099.01,10
130,Môi giới bất động sản,Real Estate Broker,Kinh doanh và Quản lý,"Các nhà môi giới bất động sản hỗ trợ khách hàng trong việc mua, bán hoặc cho thuê các tài sản và lô đất có sẵn trên thị trường. Một nhà môi giới bất động sản làm việc với tư cách là người quản lý doanh nghiệp của chính họ và tài sản họ bán hoặc cho thuê thường thuộc sở hữu của người khác.",,2,2,1,"[3.62, 3.88, 3.0, 3.12, 3.88, 1.0, 1.0, 1.0, 2.5, 3.38, 2.5, 2.12, 1.75, 2.62, 2.88, 3.12, 3.62, 1.75, 1.62, 1.75, 3.5, 1.5, 2.62, 3.88, 1.0, 1.12, 3.25, 3.38, 4.0, 2.38, 2.25, 1.38, 3.0, 1.62, 3.38]",41-9021.00,21
131,Kỹ sư robot,Robotics Engineers,Kỹ thuật,"Các kỹ sư robot tạo ra và duy trì các máy móc thực hiện các chức năng thay cho con người. Họ có thể làm việc trong các ngành nông nghiệp, quân sự, sản xuất hoặc y tế và nghĩ ra những cách sử dụng mới và sáng tạo cho rô-bốt. Họ thiết kế và cải tiến rô-bốt cho các hệ thống hiện có, đồng thời sửa chữa và bảo trì rô-bốt công nghiệp. Các kỹ sư người máy rất sáng tạo và năng động với các kỹ năng toán học nâng cao, khoa học vật lý ứng dụng và khoa học máy tính.",,2,2,1,"[3.75, 3.88, 3.88, 3.38, 4.0, 3.38, 3.12, 2.5, 3.0, 3.88, 3.38, 2.62, 2.12, 3.12, 3.75, 3.88, 2.88, 2.88, 3.25, 3.62, 3.0, 3.12, 3.62, 3.88, 2.88, 3.12, 2.38, 3.0, 3.25, 3.88, 3.38, 3.38, 3.62, 3.62, 3.75]",17-2199.08,21
132,Nhà phân tích đảm bảo chất lượng phần mềm,Software Quality Assurance Analyst,Máy tính và Công nghệ thông tin,"Nhà phân tích QA thường chịu trách nhiệm về giai đoạn thử nghiệm của quy trình sản xuất để đảm bảo rằng các sản phẩm cuối cùng đáp ứng các tiêu chuẩn của công ty. Các nhiệm vụ bao gồm xác định xem sản phẩm có hoạt động tốt, đáng tin cậy và đáp ứng mong đợi của người dùng cuối hay không. Tùy thuộc vào cơ cấu tổ chức nội bộ của một công ty, tiến trình công việc điển hình cho nhà phân tích QA là ở vai trò quản lý hoặc điều hành.",,1,1,1,"[3.12, 3.88, 3.38, 3.0, 3.88, 1.0, 1.75, 2.0, 2.62, 3.12, 2.88, 1.5, 1.5, 2.12, 2.75, 3.62, 2.12, 1.88, 3.12, 3.0, 2.5, 3.62, 3.38, 4.0, 1.12, 2.75, 2.5, 2.88, 3.88, 3.12, 3.25, 2.62, 3.0, 2.88, 3.75]",15-1253.00,10
133,Nhà thiết kế trò chơi điện tử,Video Game Designer,Năng khiếu nghệ thuật,"Với tư cách là Nhà thiết kế trò chơi, bạn sẽ tạo trò chơi thể thao mới và sử dụng ngôn ngữ lập trình máy tính để viết mã cần thiết. Bạn sẽ quản lý nhóm phát triển phần mềm/nhóm dự án trong suốt vòng đời phát triển phần mềm. Niềm đam mê trò chơi điện tử đã được thể hiện của bạn sẽ thể hiện qua các kỹ năng nghệ thuật và sáng tạo đặc biệt của bạn trong các cuộc họp chào hàng với khách hàng và các cuộc họp phát triển sản phẩm mới.",,1,1,1,"[3.5, 3.88, 3.62, 3.12, 3.75, 1.0, 1.12, 1.12, 2.88, 3.62, 2.88, 1.88, 1.88, 2.75, 2.88, 3.12, 3.0, 1.0, 3.0, 2.25, 3.0, 4.0, 2.0, 3.75, 1.0, 1.38, 2.75, 3.0, 3.12, 3.38, 3.25, 3.0, 3.38, 1.12, 3.25]",15-1255.01,10
134,Nhà phát triển web,Web Developer,Máy tính và Công nghệ thông tin,Các nhà phát triển web làm việc trong mã thiết kế và sửa đổi trang web theo thông số kỹ thuật của khách hàng để xử lý mọi khía cạnh của quá trình tạo trang web từ bố cục đến chức năng. Họ biến tầm nhìn của khách hàng thành hiện thực bằng cách đảm bảo trang web hoàn thiện có các ứng dụng phù hợp và phù hợp.,,2,2,1,"[3.5, 3.5, 3.62, 3.0, 3.75, 1.0, 2.0, 1.25, 2.75, 3.38, 2.88, 1.75, 1.75, 2.38, 2.75, 3.0, 2.75, 1.62, 3.62, 2.25, 2.88, 4.12, 2.75, 3.62, 1.0, 2.0, 2.88, 2.88, 3.25, 3.12, 3.0, 2.5, 3.0, 2.12, 3.12]",15-1254.00,21
135,Kỹ thuật viên điện và điện tử,Electrical and Electronic Engineering Technicians,Kỹ thuật,"Các kỹ thuật viên điện tử giám sát các hệ thống và thiết bị điện tử khác nhau và đóng nhiều vai trò trong lĩnh vực đó. Các kỹ thuật viên điện tử áp dụng kiến thức của họ về sơ đồ và sơ đồ nối dây và các hoạt động điện tử và các chức năng của bộ phận điện tử, cho dù thiết kế các thành phần mới hay khắc phục sự cố và sửa chữa các hệ thống hiện có. Kiến thức của họ giúp họ thực hiện các dịch vụ và cài đặt trong các công ty sản xuất điện tử, công ty viễn thông, công ty máy tính, cơ quan chính phủ và công ty kỹ thuật điện.",,0,0,0,"[3.12, 3.38, 3.5, 3.03, 3.69, 2.94, 2.66, 1.97, 2.84, 3.16, 2.69, 2.03, 2.12, 2.59, 3.19, 3.19, 2.38, 2.78, 2.5, 3.18, 2.63, 2.19, 3.09, 3.56, 2.94, 2.72, 2.69, 2.84, 3.25, 3.12, 2.97, 2.46, 3.06, 3.28, 3.12]",17-3023.00,0
136,Quản lý chuỗi cung ứng,Supply Chain Manager,Kinh doanh và Quản lý ,"Quản lý chuỗi cung ứng có vai trò quan trọng trong việc lập kế hoạch, tổ chức và thực hiện các dự án quy mô lớn. Người quản lý chuỗi cung ứng xem xét dữ liệu và sau đó ban hành một kế hoạch để cải thiện hệ thống chuỗi cung ứng. Họ làm việc để thúc đẩy hiệu suất hàng đầu từ công nhân và giảm chi phí tổng thể của các mặt hàng được sử dụng trong các dự án",,1,1,2,"[3.75, 4.0, 3.88, 4.0, 3.88, 1.0, 1.0, 1.0, 3.12, 4.0, 3.0, 2.88, 3.75, 3.25, 3.0, 4.0, 3.75, 1.0, 2.5, 2.25, 3.62, 1.62, 2.0, 4.0, 1.0, 1.12, 3.12, 3.75, 4.0, 3.75, 3.88, 2.12, 4.0, 1.62, 3.88]",11-3071.04,11
137,Kỹ thuật viên kỹ thuật ô tô,Automotive Engineering Technicians,Kỹ thuật,Automotive Engineering Technicians,,0,1,0,"[3.0, 3.25, 3.25, 3.0, 3.5, 3.0, 2.88, 2.38, 2.38, 3.12, 2.38, 1.75, 2.12, 2.38, 3.12, 3.12, 2.38, 2.88, 2.25, 3.25, 2.38, 2.12, 3.25, 3.62, 3.12, 2.62, 2.5, 3.0, 3.5, 2.62, 2.88, 2.0, 2.88, 3.0, 3.25]",17-3027.01,3
138,Trợ lý nhân sự,Human Resources Assistants,Kinh doanh và Quản lý,"Trợ lý nhân sự (HR) là những chuyên gia được chứng nhận, những người xử lý các nhiệm vụ hành chính và nhân sự hàng ngày tại một tổ chức. Họ giúp các nhà quản lý nhân sự tuyển dụng, xử lý nhân viên trả lương và bảo trì hồ sơ nhân viên. Họ chịu trách nhiệm cung cấp hỗ trợ văn thư cho tất cả nhân viên.",,2,2,1,"[3.0, 4.0, 3.0, 3.0, 3.38, 1.0, 1.0, 1.0, 2.5, 3.0, 2.5, 1.62, 1.62, 2.38, 2.0, 3.38, 2.62, 1.25, 1.75, 1.75, 2.88, 1.75, 1.25, 4.0, 1.0, 1.12, 3.0, 3.38, 3.75, 2.25, 2.25, 1.62, 3.12, 1.0, 3.5]",43-4161.00,21
139,Dự toán viên,Cost Estimator,Kiến trúc và xây dựng,"Dự toán viên chi phí ước tính chi phí, so sánh ngân sách với chi phí thực tế và theo dõi chi phí trong khi theo dõi các thay đổi đáng kể về sản phẩm hoặc quy trình. Họ chuẩn bị các báo cáo giúp định hình các quyết định quản lý và phải thành thạo về dữ liệu và phân tích tài chính. Họ xác định chi phí tiêu chuẩn và điều tra sự khác biệt trong chi phí và có thể được yêu cầu chuẩn bị các báo cáo chi tiết cả định kỳ và tại chỗ. Họ tạo và quản lý ngân sách, giám sát chi tiêu và tiến hành kiểm toán các quy trình tài chính và các nhà phân tích chi phí giao dịch.",,2,1,0,"[3.25, 3.75, 3.25, 3.12, 3.88, 1.0, 1.0, 1.0, 2.75, 3.75, 2.88, 3.25, 2.88, 2.62, 4.0, 3.0, 3.12, 1.12, 2.5, 1.75, 3.0, 1.88, 1.5, 3.88, 1.0, 1.5, 2.5, 3.12, 3.75, 3.25, 3.12, 1.75, 3.0, 1.0, 3.5]",13-1051.00,17
